id,source,target,relation,source_text
E001,E001,P213,HAS_SUBJECT,空海以去延暦二十三年。銜命留學之末。問津萬里之外。其年臘月得到長安。
E002,E001,L320,HAS_OBJECT,空海以去延暦二十三年。銜命留學之末。問津萬里之外。其年臘月得到長安。
E003,E001,L320,AT_LOCATION,空海以去延暦二十三年。銜命留學之末。問津萬里之外。其年臘月得到長安。
E004,P213,L320,TRAVEL,空海以去延暦二十三年。銜命留學之末。問津萬里之外。其年臘月得到長安。
E005,E112,P213,HAS_SUBJECT,二十四年二月十日。准勅配住西明寺。
E006,E112,L300,HAS_OBJECT,二十四年二月十日。准勅配住西明寺。
E007,E112,L323,AT_LOCATION,二十四年二月十日。准勅配住西明寺。
E008,P213,L300,TRAVEL,二十四年二月十日。准勅配住西明寺。
E009,P213,L323,TRAVEL,二十四年二月十日。准勅配住西明寺。
E010,E223,P213,HAS_SUBJECT,幸遇青龍寺灌頂阿闍梨法號惠果和尚。以爲師主。
E011,E223,P149,HAS_OBJECT,幸遇青龍寺灌頂阿闍梨法號惠果和尚。以爲師主。
E012,E223,L331,AT_LOCATION,幸遇青龍寺灌頂阿闍梨法號惠果和尚。以爲師主。
E013,P213,P149,LEARN,幸遇青龍寺灌頂阿闍梨法號惠果和尚。以爲師主。
E014,P213,L331,LEARN,幸遇青龍寺灌頂阿闍梨法號惠果和尚。以爲師主。
E015,E334,P213,HAS_SUBJECT,授我以發菩提心戒。許我以入灌頂道場。沐受明灌頂再三焉。受阿闍梨位一度也。
E016,E334,P149,HAS_OBJECT,授我以發菩提心戒。許我以入灌頂道場。沐受明灌頂再三焉。受阿闍梨位一度也。
E017,E334,L324,AT_LOCATION,授我以發菩提心戒。許我以入灌頂道場。沐受明灌頂再三焉。受阿闍梨位一度也。
E018,P213,L324,LEARN,授我以發菩提心戒。許我以入灌頂道場。沐受明灌頂再三焉。受阿闍梨位一度也。
E019,E445,P040,HAS_SUBJECT,至秋七月。巡礼南臺。
E020,E445,L074,HAS_OBJECT,至秋七月。巡礼南臺。
E021,E445,L023,AT_LOCATION,至秋七月。巡礼南臺。
E022,P040,L074,TRAVEL,至秋七月。巡礼南臺。
E023,P040,L023,TRAVEL,至秋七月。巡礼南臺。
E024,E556,P040,HAS_SUBJECT,其年八月。到長安城。
E025,E556,L322,HAS_OBJECT,其年八月。到長安城。
E026,E556,L320,AT_LOCATION,其年八月。到長安城。
E027,P040,L322,TRAVEL,其年八月。到長安城。
E028,P040,L320,TRAVEL,其年八月。到長安城。
E029,E667,P040,HAS_SUBJECT,礼拜大興善寺翻經院元政阿闍梨。屈請以爲師。始學金剛界大教。
E030,E667,P036,HAS_OBJECT,礼拜大興善寺翻經院元政阿闍梨。屈請以爲師。始學金剛界大教。
E031,E667,L140,AT_LOCATION,礼拜大興善寺翻經院元政阿闍梨。屈請以爲師。始學金剛界大教。
E032,P040,P036,LEARN,礼拜大興善寺翻經院元政阿闍梨。屈請以爲師。始學金剛界大教。
E033,P040,L140,LEARN,礼拜大興善寺翻經院元政阿闍梨。屈請以爲師。始學金剛界大教。
E034,E720,P040,HAS_SUBJECT,數月受五瓶潅頂。被許傳法也。
E035,E720,P036,HAS_OBJECT,數月受五瓶潅頂。被許傳法也。
E036,E720,L139,AT_LOCATION,數月受五瓶潅頂。被許傳法也。
E037,P040,L139,LEARN,數月受五瓶潅頂。被許傳法也。
E038,E731,P040,HAS_SUBJECT,明年向青竜寺。礼拜義眞阿闍梨。屈請爲師。
E039,E731,P228,HAS_OBJECT,明年向青竜寺。礼拜義眞阿闍梨。屈請爲師。
E040,E731,L330,AT_LOCATION,明年向青竜寺。礼拜義眞阿闍梨。屈請爲師。
E041,P040,P228,LEARN,明年向青竜寺。礼拜義眞阿闍梨。屈請爲師。
E042,P040,L330,LEARN,明年向青竜寺。礼拜義眞阿闍梨。屈請爲師。
