id,type,name,source_count,sources
E001,Event,到達唐朝：空海得到長安,1,空海以去延暦二十三年。銜命留學之末。問津萬里之外。其年臘月得到長安。
E002,Event,到達唐朝：圓珍奉詔入唐傳得眞言天台兩宗教文,1,圓珍奉詔入唐。傳得眞言天台兩宗教文。
E003,Event,到達唐朝：平郡朝臣廣成隨大使多治比眞人廣成入唐,1,天平五年隨大使多治比眞人廣成入唐。
E004,Event,海上遭難：廣成之船悪風忽起漂着崑崙國,1,六年十月事畢却歸。四船同發從蘇州入海。悪風忽起彼此相失。廣成之船一百一十五人漂着崑崙國。
E005,Event,返回日本：平郡朝臣廣成取渤海路歸朝,1,請取渤海路歸朝。天子許之。給船粮發遣。十年三月。從登州入海。五月到渤海界。
E006,Event,前往地點：円仁到五台,1,到五台而問津。
E007,Event,到達唐朝：眞濟奉朝命隨使渡海入唐,1,承和之初。遣使聘唐。眞濟奉朝命。隨使渡海。
E008,Event,海上遭難：眞濟中途漂蕩船舶破裂駕筏漂蕩廿三日,1,中途漂蕩。船舶破裂。眞濟纔駕一筏。随波而去...凡在海上廿三日。
E009,Event,到達唐朝：第二船到泊薩摩國出水郡,1,"餘人而來歸。
乙夘。第二船到泊薩摩國出水郡。又第一船海中中斷。舳艫各分。主神津守宿祢國麻呂。并唐判官等五十六人。乘其艫而着甑嶋郡。判官大伴宿祢繼人。并前入唐大使藤原朝臣河清之女喜娘等■一人。乘其舳而着肥後國天草郡。繼人等上奏言。繼人等去年六月"
E010,Event,到達唐朝：乘其艫而着甑嶋郡,1,"餘人而來歸。
乙夘。第二船到泊薩摩國出水郡。又第一船海中中斷。舳艫各分。主神津守宿祢國麻呂。并唐判官等五十六人。乘其艫而着甑嶋郡。判官大伴宿祢繼人。并前入唐大使藤原朝臣河清之女喜娘等■一人。乘其舳而着肥後國天草郡。繼人等上奏言。繼人等去年六月廿四日。四船同入海。七月三日着泊揚州海陵縣。八月廿九日。到揚州大都督府。即節度使陳少遊"
